Symbol,closing,earningsQuarterlyGrowth,ForwardPE
RHP,81.71,50.4,17.191984
JLL,170.95,459.70000000000005,14.913919
CHY,12.28,83.89999999999999,10.6
HEES,37.78,75.8,16.912844
FNHC,22.54,208.1,8.476191
MERC,16.275,163.7,9.3918915
ERI,43,2106.9,17.869955
DIOD,33.42,1422.3000000000002,14.708861
PKBK,21.6,66.5,17.88
TBBK,11.32,77.60000000000001,11.403225
NGHC,27.03,84.7,10.248062
ZBRA,152.96,1262.5,13.352776
PPBI,42.25,194.1,12.238094
DNB,122.39,312.3,13.97172
GAIN,11.54,133.0,14.81962
HSII,39.15,1464.3000000000002,18.411457
OPB,29.1,68.5,14.240196
JASO,7.18,63.7,9.246713
DHX,1.9,161.4,14.6875
HIFR,20.86,61.8,16.862597
DX,6.54,389.5,9.441176
MEDP,42.41,72.3,19.713951
QSII,14.64,85.3,23.650602
HRTG,17.94,147.9,5.898602
EGRX,65.84,88.6,16.890766
PRFT,25.35,81.89999999999999,15.541668
CBU,60.41,52.7,18.777538
CECO,14.44,238.09999999999997,13.965218
WOR,47.77,120.39999999999999,12.533923
TPVG,13.15,110.3,8.083871
UNFI,46.12,98.1,12.267046
TEP,44.57,65.8,14.700966
ADX,15.31,91.60000000000001,14.18
HESM,20.77,73.5,13.315436
OCFC,28.66,54.800000000000004,13.126637
NSIT,46.09,136.5,10.488172
MSA,90.88,124.6,19.269386
WCG,218.43,51.1,20.146626
RGR,61.5,50.3,12.344754
FIBK,44.05,58.199999999999996,13.208723
CAI,24.99,225.1,5.2723
UIHC,20.94,114.6,8.530436
HZO,24,125.0,11.213873
EPAM,124.29,172.5,23.712328
TCBK,39.2,76.2,12.936027
HX,12.27,303.0,3.7759998
CNTY,8.28,57.099999999999994,12.794117
KRA,49.34,244.20000000000002,10.613584
CAE,19.62,50.1,21.34737
MATX,34.61,102.89999999999999,15.712499
TTEK,53.7,73.3,20.373667
IBCP,25.25,53.300000000000004,13.005051
NEP,43.66,558.3000000000001,22.511765
OSB,41.48,93.89999999999999,10.384021
FLY,14.75,90.60000000000001,5.077491
SAH,21.2,64.60000000000001,9.821428
HNP,29.36,87.0,13.568421
MAXR,48.46,620.9,9.042672
ROYT,2.22,1623.4,20.576365
HLNE,46.3,2105.6,22.909525
HELE,91.3,68.30000000000001,12.968127
AMSWA,13.61,148.8,23.444445
VCTR,10.65,138.5,5.934524
CRMT,64,94.0,12.645291
RECN,16,59.3,17.65306
JCAP,19.1,200.3,9.766332
COBZ,21.95,50.7,15.120567
VRTU,48.6,72.5,17.75926
ASIX,38.76,57.49999999999999,9.059701
KAMN,73.14,123.6,19.219177
FOXF,38.55,101.6,22.330097
AOSL,15.34,53.6,14.393939
SAIA,79.25,361.5,17.898878
VBTX,30.64,235.3,15.004807
EFSC,54.75,68.8,13.989637
SCVL,25.61,57.4,14.731277
FRME,45.91,58.099999999999994,13.91098
HIL,5.65,1960.9,19.032259
WWD,75.07,60.8,16.48359
BFIN,17.74,89.2,17.564356
MITT,18.85,67.2,9.671795
KNOP,20.4,168.79999999999998,9.190871
HNRG,7.12,71.2,16.133335
PJT,56.41,292.8,18.731958
FBNC,41.34,173.6,13.783333
MEI,43.2,58.599999999999994,11.111112
ASG,5.99,50.6,4.72
BGR,15.38,55.2,12.32
EOS,17.59,125.4,14.41
IBOC,43.45,66.9,1.92
BHLB,39.65,63.3,13.439543
ISCA,42.9,696.1,20.295454
LNN,98.13,65.4,23.982279
KMG,66.25,157.9,16.79163
CECE,6.05,15065.8,14.068182
MCFT,30.48,411.09999999999997,12.389611
SBT,13.82,51.2,10.816
TIPT,6.65,2041.8,5.35
CHDN,308.75,2393.2,19.962017
HGT,0.8209,80.4,9.78
INTT,7.5,81.69999999999999,8.689025
THR,24.28,86.3,19.78261
KREF,20.43,125.4,11.267045
MSBI,32.7,78.7,11.465116
TRS,28.75,247.9,15.594595
NSM,18.25,90000.0,6.8560314
SINO,1.38,66.7,1.04
PAR,13.8,95.3,7.31
SACH,3.79,105.1,3.3
NL,9.9,70.6,3.9767442
UFI,32.08,98.1,19.658384
TPB,24.95,61.5,16.494844
NVGS,11.35,74.6,18.785713
CACI,163.5,59.8,18.271334
GFF,22.85,1689.5,15.772727
MCB,50.3,146.9,12.701457
REX,77.58,109.00000000000001,16.1643
KONE,7.7384,95.6,2.63
LOB,29.45,103.69999999999999,17.735294
EAD,8.08,58.3,9.45
CHMI,19.06,56.8,8.95
CAFD,12.2,1055.3000000000002,18.818182
DOGZ,4.17,53.800000000000004,3.551
PFLT,13.54,114.1,11.534238
CPSI,31.8,1512.6,14.561404
ANIP,62.45,95.3,10.4642315
UCFC,10.5,456.29999999999995,13.337349
BBW,9.2,86.5,9.011628
ACBI,20.8,56.00000000000001,17.198277
MTRN,55.8,246.4,22.282158
ROLL,123.83,86.6,24.485075
MBIN,25.19,65.0,11.289157
HMLP,18.55,61.3,9.944752
NNI,62.68,127.69999999999999,11.626242
SAFE,18.62,107.60000000000001,13.887682
VPG,35.5,150.0,19.566326
SAR,22.65,341.0,11.831169
FF,13.74,1088.3,17.9625
RENX,21.64,60.5,19.87736
CIA,7.89,98.2,6.67
SSB,90.1,90.0,13.950715
CCMP,112.38,62.7,18.695187
UNF,174.95,159.3,24.171194
ANCX,28.62,210.2,14.618091
IPCC,144.6,91.10000000000001,21.615618
HBNC,31.27,55.7,13.292994
GRBK,12,80.80000000000001,6.9999995
UHAL,355.48,710.8,15.917753
NTIP,2.85,279.2,2.25
DIAX,19.76,68.10000000000001,15.43
TRNS,17.725,71.7,18.5
OSBC,15.3,114.3,11.910568
RM,36.42,68.30000000000001,9.637837
BMTC,47.2,69.0,13.414286
OLBK,34.4,52.6,12.943396
CIVB,24.2,50.8,13.010471
MYRG,38.36,370.3,15.181035
DRD,2.54,2144.4,3.8235292
HOFT,39.6,50.7,12.93956
BGSF,21,89.4,13.735294
WRLD,110.96,82.6,12.868094
GBLI,40.06,53.6,24.339394
FFNW,17.39,191.9,15.5546875
ANAT,120.4,52.900000000000006,2.83
ULH,24.35,141.6,15.473372
NCOM,46.025,53.5,14.283536
AUDC,7.49,88.0,14.698114
UFCS,53.28,283.40000000000003,22.82773
KCAP,3.18,576.8,9.319428
VLGEA,29.56,58.699999999999996,3.61
OBNK,37.56,85.0,16.80498
TREC,13.65,58.199999999999996,14.23077
GRC,34.4,89.9,22.844156
INTL,48.6,106.4,13.894309
SBBX,30.45,66.3,12.244898
HGSH,1.44,147.70000000000002,1.18
MHH,16.92,586.5999999999999,6.21
WSBF,17.45,51.300000000000004,15.08772
LEE,2.45,63.5,3.1182797
SYBT,39.7,53.400000000000006,15.792682
EQBK,40.39,79.10000000000001,12.862654
KWR,155.54,82.1,22.366959
PRK,114.5,53.6,15.575549
TMP,85.63,83.7,14.525423
NVEE,59.9,89.1,17.570694
FSBW,58.22,66.7,12.16826
UHT,61.33,69.6,4.84
FBMS,34.65,252.70000000000002,14.313725
TCX,63.05,53.0,21.601423
RICK,32.06,393.8,12.634146
PIH,7.6,693.1,6.1666665
MRLN,30.35,301.6,12.258064
INBK,36.1,112.9,9.710982
JOUT,74.9,54.900000000000006,19.104189
VRTS,124.85,55.800000000000004,9.816341
FFBW,11.04,51.9,10.3
STRT,36,624.0999999999999,12.789256
MSL,14.2,85.5,19.927536
SMBK,25,107.69999999999999,14.032608
SNFCA,5.4,1823.8,4.047619
ORM,16.15,144.9,16.019049
MVO,9.93,83.3,4.947404
CIGI,75.9,260.40000000000003,16.851017
GSHT,10.04,429.0,9.85
RBCAA,44.08,51.6,14.577287
ALOT,19.7,59.0,17.79
WHG,59,61.8,3.58
CSWI,46.55,132.4,19.308119
CCR,15.6,56.10000000000001,6.9392524
PRPH,4.11,99.9,2.01
FCCO,23.4,54.300000000000004,15.462962
CNXN,29.84,52.0,12.454887
CULP,31.3,104.4,14.670659
CSTR,20.1,862.3,13.667884
FDEF,62.13,128.29999999999998,14.202882
HALL,10.2,83.8,10.0
BCML,23.85,187.4,14.389535
SPE,15.0899,95.39999999999999,14.48
BCBP,15.75,59.0,11.666667
OCIP,10,119.30000000000001,12.026316
IESC,17.7,314.40000000000003,14.05
TPL,691.95,127.4,0.18
FFKT,53.55,69.5,17.524918
NCBS,57.06,54.300000000000004,14.4085045
PLPC,74.87,86.2,1.51
LGL,5.49,73.9,5.15
ORRF,26,81.10000000000001,13.763158
HTBI,27.05,2136.1,17.78125
WILC,7.09,67.9,6.37
GTYH,10,309.90000000000003,9.75
BHB,30.59,85.5,11.034545
TGLS,8.84,949.2,12.074429
FSI,1.6548,78.4,17.866667
ITCB,16.3,75.1,11.029411
BORN,1.2705,629.8,1.1
NTIC,30.25,244.4,14.95
MLR,26.75,73.7,2.93
UNTY,22.8,63.800000000000004,0.96
MSBF,19.5103,86.2,17.1
PMBC,9.8,108.1,17.017544
CSWC,17.11,150.7,13.774435
SSFN,11.85,82.39999999999999,1.16
SSNT,4.15,62.1,9.255814
ESQ,24.985,140.2,15.693642
PANL,3.41,6004.8,4.2285714
TAIT,1.67,79.7,1.22
EML,30.6,104.3,2.27
CPHC,16.55,92.9,13.55
GSHTU,10.67,429.0,10.95
SGA,38.85,200.4,15.702478
ACNB,31.6,86.3,3.48
IIJI,10.05,92.7,23.06643
MRBK,17.8,1133.0,11.666668
HMG,13.8,9812.1,10.34
VALU,20,522.6,4.25
HMTA,12.3757,55.60000000000001,11.26
PBSK,19.19,50.5,1.34
BRID,15.25,252.4,11.05
LCAHU,11.39,5696.0,9.66
FSBC,17.65,709.1,14.6
CBAN,16.35,50.6,11.1
SSBI,15.95,59.699999999999996,3.54
JXSB,33.64,79.80000000000001,1.9
MAMS,8.3775,79.5,23.406487
KEQU,33,158.9,2.53
UBP,17.31,54.2,5.22
POPE,71,69.69999999999999,3.81
CMCT,15.25,99.7,5.33
CKX,10.5,1776.6,9.61
JVA,4.27,29309.800000000003,12.158298
JCTCF,16.15,64.5,5.825
ANCB,25.4493,97.7,12.522239
LND,3.85,1088.8,3.21
